transaction_id,customer_id,merchant_id,amount,transaction_time,is_fraudulent,card_type,location,purchase_category,customer_age,transaction_description,country
1,1082,2027,5758.59,2023-01-01 00:00:00,0,MasterCard,City-30,Gas Station,43,Purchase at Merchant-2027,Slovakia
2,1015,2053,1901.56,2023-01-01 00:00:01,1,Visa,City-47,Online Shopping,61,Purchase at Merchant-2053,Montenegro
3,1004,2035,1248.86,2023-01-01 00:00:02,1,MasterCard,City-6,Gas Station,57,Purchase at Merchant-2035,Germany
4,1095,2037,7619.05,2023-01-01 00:00:03,1,Discover,City-6,Travel,59,Purchase at Merchant-2037,Switzerland
5,1036,2083,1890.1,2023-01-01 00:00:04,1,MasterCard,City-34,Retail,36,Purchase at Merchant-2083,Croatia
6,1032,2021,8487.68,2023-01-01 00:00:05,1,American Express,City-1,Gas Station,43,Purchase at Merchant-2021,Kosovo
7,1029,2033,7565.3,2023-01-01 00:00:06,1,Visa,City-7,Online Shopping,19,Purchase at Merchant-2033,Slovakia
8,1018,2088,2284.88,2023-01-01 00:00:07,0,American Express,City-46,Travel,40,Purchase at Merchant-2088,Ireland
9,1095,2077,3952.73,2023-01-01 00:00:08,0,American Express,City-45,Groceries,43,Purchase at Merchant-2077,Liechtenstein
10,1014,2031,8362.04,2023-01-01 00:00:09,0,Visa,City-25,Restaurant,55,Purchase at Merchant-2031,Denmark
11,1087,2052,2974.23,2023-01-01 00:00:10,1,MasterCard,City-29,Retail,70,Purchase at Merchant-2052,Denmark
12,1095,2031,4128.7,2023-01-01 00:00:11,0,Discover,City-45,Travel,27,Purchase at Merchant-2031,Lithuania
13,1070,2015,6409.54,2023-01-01 00:00:12,1,American Express,City-30,Restaurant,46,Purchase at Merchant-2015,Russia
14,1012,2020,2190.4,2023-01-01 00:00:13,1,Visa,City-19,Gas Station,34,Purchase at Merchant-2020,Slovenia
15,1076,2025,2516.99,2023-01-01 00:00:14,1,MasterCard,City-13,Retail,41,Purchase at Merchant-2025,Lithuania
16,1055,2004,3454.14,2023-01-01 00:00:15,1,Discover,City-25,Retail,19,Purchase at Merchant-2004,Austria
17,1005,2032,2415.3,2023-01-01 00:00:16,1,Visa,City-4,Online Shopping,41,Purchase at Merchant-2032,Latvia
18,1004,2040,79.76,2023-01-01 00:00:17,0,Visa,City-17,Restaurant,64,Purchase at Merchant-2040,Andorra
19,1012,2060,8906.66,2023-01-01 00:00:18,1,Visa,City-35,Travel,62,Purchase at Merchant-2060,Lithuania
20,1028,2063,6838.47,2023-01-01 00:00:19,1,Discover,City-40,Groceries,44,Purchase at Merchant-2063,Ukraine
21,1030,2072,2821.68,2023-01-01 00:00:20,1,MasterCard,City-1,Groceries,57,Purchase at Merchant-2072,Netherlands
22,1065,2056,1621.03,2023-01-01 00:00:21,0,MasterCard,City-38,Retail,40,Purchase at Merchant-2056,Serbia
23,1078,2055,625.58,2023-01-01 00:00:22,0,Visa,City-34,Online Shopping,60,Purchase at Merchant-2055,Andorra
24,1004,2083,4944.29,2023-01-01 00:00:23,1,Discover,City-22,Retail,51,Purchase at Merchant-2083,Kosovo
25,1072,2005,9027.91,2023-01-01 00:00:24,0,Visa,City-39,Groceries,28,Purchase at Merchant-2005,Poland
26,1026,2026,613.44,2023-01-01 00:00:25,1,MasterCard,City-10,Travel,42,Purchase at Merchant-2026,Estonia
27,1092,2021,7558.94,2023-01-01 00:00:26,0,Visa,City-29,Restaurant,23,Purchase at Merchant-2021,Latvia
28,1084,2035,4306.65,2023-01-01 00:00:27,1,American Express,City-7,Groceries,45,Purchase at Merchant-2035,Ukraine
29,1090,2018,6743.61,2023-01-01 00:00:28,1,American Express,City-17,Groceries,65,Purchase at Merchant-2018,Luxembourg
